Marker,Time_stamp
wait,79993.77781427011
wait,79993.77787297012
wait,79993.77792457015
wait,79993.77793697016
wait,79993.77795367017
wait,79993.77796387018
wait,79993.77797987018
wait,79993.77798967018
wait,79993.77799977019
wait,79993.77800967019
wait,79993.7780194702
wait,79993.77802927021
wait,79993.7780390702
wait,79993.77804867021
wait,79993.77805837021
wait,79993.77806827021
wait,79993.77807857022
wait,79993.77808867024
wait,79993.77809867023
wait,79993.77810857023
wait,79993.77811847025
wait,79993.77812847025
wait,79993.77813817025
wait,79993.77814807024
wait,79993.77815787026
wait,79993.77816777026
wait,79993.77817767026
wait,79993.77818757028
wait,79993.77819747028
wait,79993.77820717028
wait,79993.77821707027
wait,79993.77822677029
wait,79993.77823667029
wait,79993.7782467703
wait,79993.77825657031
wait,79993.7782665703
wait,79993.7782765703
wait,79993.77828657032
wait,79993.77829647032
wait,79993.77830627032
wait,79993.77831637031
wait,79993.77832627033
wait,79993.77833607033
wait,79993.77834597034
wait,79993.77835587035
wait,79993.77836617034
wait,79993.77837667035
wait,79993.77838647035
wait,79993.77854927043
wait,79993.77856157043
wait,79993.77857247043
wait,79993.77858317044
wait,79993.77859397043
wait,79993.77860487044
wait,79993.77861547045
wait,79993.77862597044
wait,79993.77863677047
wait,79993.77864747046
wait,79993.77866097046
wait,79993.77867167047
wait,79993.77868387048
wait,79993.7786979705
wait,79993.77871027049
wait,79993.7787229705
wait,79993.77873807051
wait,79993.77875897051
wait,79993.77878227053
wait,79993.77879887052
wait,79993.77882617054
wait,79993.77884957055
wait,79993.77886047056
wait,79993.77887037057
wait,79993.77888017056
wait,79993.77889017056
wait,79993.77890017057
wait,79993.77891007058
wait,79993.77892017057
wait,79993.77892997058
wait,79993.7789398706
wait,79993.7789496706
wait,79993.7789594706
wait,79993.7789692706
wait,79993.77897927062
wait,79993.77902447063
wait,79993.77906857064
wait,79993.77908157065
wait,79993.77909237065
wait,79993.77910287066
wait,79993.77911317066
wait,79993.77912387067
wait,79993.77913437066
wait,79993.77914497069
wait,79993.77915547068
wait,79993.77916587068
wait,79993.77917637068
wait,79993.7791866707
wait,79993.77919717069
wait,79993.7792075707
wait,79993.77921797072
wait,79993.77922837071
wait,79993.77923867072
wait,79993.77924897072
wait,79993.77925947073
wait,79993.77926977073
wait,79993.77928017074
wait,79993.77929047075
wait,79993.77930067074
wait,79993.77931107074
wait,79993.77932147075
wait,79993.77933197076
wait,79993.77934237076
wait,79993.77935267077
wait,79993.77936317078
wait,79993.77937347077
wait,79993.77938377079
wait,79993.7794231708
wait,79993.7794331708
wait,79993.7794431708
wait,79993.77945307082
wait,79993.7794628708
wait,79993.77947277081
wait,79993.77948267081
wait,79993.77949247083
wait,79993.77950227083
wait,79993.77951227083
wait,79993.77952207084
wait,79993.77953177084
wait,79993.77954177084
wait,79993.77955167084
wait,79993.77956167086
wait,79993.77957157086
wait,79993.77958157085
wait,79993.77959147087
wait,79993.77960127087
wait,79993.77961097087
wait,79993.77962087088
wait,79993.77963067089
wait,79993.77964037089
wait,79993.77965027088
wait,79993.7796601709
wait,79993.7796699709
wait,79993.7796797709
wait,79993.7796895709
wait,79993.77969947092
wait,79993.77970927092
wait,79993.77971917091
wait,79993.77972917093
wait,79993.77973897093
wait,79993.77974877093
wait,79993.77975867093
wait,79993.77977197095
wait,79993.77978207094
wait,79993.77979187094
wait,79993.77980157096
wait,79993.77981137096
wait,79993.77982107096
wait,79993.77983107098
wait,79993.77984087098
wait,79993.77985077097
wait,79993.77986047097
wait,79993.77987057099
wait,79993.77988037099
wait,79993.77989017099
wait,79993.779907571
wait,79993.779917671
wait,79993.779927471
wait,79993.77993727101
